Model,Batch Size,Max Steps,Training Samples,Prediction Samples,Noise Std,Noise Type,Input Length,Forecast Horizon,Training Time (s),MAE,MSE,RMSE,MAPE,sMAPE,sMdAPE,MPE,OPL,MASE,RMSSE,CRPS,PICP,MIS,MPIW,Inference Time
EnBiTCN,64,109,2,100,1.0,uniform,24,24,15.96474003791809,27.685435158865793,1743.4177769252233,39.56998662554163,91692322816.0,136.92055075509208,185.61835261753626,-91692322816.0,0.4154236785003117,2.2000436101640974,1.2980134402002608,22.01325021471296,0.6129214550767627,431.9878485543387,47.686977931431365,0.09166397367204938
EniTransformer,64,109,2,100,1.0,uniform,24,24,48.79890775680542,18.573806626456125,1068.204092843192,31.375019369590326,28542177280.0,91.059079851423,67.69187218802315,-28542177280.0,0.2963911699397223,1.4565376469067164,0.8586312234401703,14.264868531908308,0.8671359164374215,199.9308351789202,64.73386655535016,0.9686412130083356
EnKAN,64,109,2,100,1.0,uniform,24,24,63.4553906917572,19.937693187168666,1231.7070922851562,32.88741052371564,34664265728.0,124.53904179164341,138.9982681274414,-34664265728.0,0.38645327942711966,1.5845931087221419,0.9346392580441066,14.43959631238665,0.9224018113953727,171.0478733607701,68.5931260245187,1.1483285767691476
EnMLP,64,109,2,100,1.0,uniform,24,24,14.36398983001709,17.755154609680176,1305.347455705915,33.264897242148855,10789869714.285715,95.84592928205218,96.00034931727818,-10789869714.285715,0.30545857761587414,1.40763544184821,0.8299192999090467,13.006954261234828,0.9384341154779706,143.99022347586495,75.15456717354911,0.13294131415230886
EnMLPMultivariate,64,109,2,100,1.0,uniform,24,24,3.2635109424591064,16.612889971051896,1039.089113507952,29.715034961243898,11322133796.571428,95.80542428152901,70.52993188585553,-11322133796.571428,0.2929002195596695,1.30936655827931,0.7716607834611621,13.08085482461112,0.742961415222713,238.94646944318498,33.077265875680105,0.13122010231018066
EnPatchTST,64,109,2,100,1.0,uniform,24,24,83.72021555900574,19.11417559215001,1308.729982648577,33.609003693717675,22273722660.57143,89.18386949811664,62.88038798740932,-22273722660.57143,0.2962098206792559,1.5141755512782507,0.8926685707909721,14.786046845572335,0.9285279767853873,170.7518354143415,86.38651166643415,0.7763229097638812
EnRMoK,64,109,2,100,1.0,uniform,24,24,20.057209014892578,20.715001106262207,1336.124291556222,34.20338565703726,37042554002.28571,116.8718981061663,132.88262721470423,-37042554002.28571,0.36346737827573505,1.6338173576763697,0.9633442844663348,15.426163400922503,0.928136944770813,180.69164385114397,82.14985765729632,0.10852088247026716
EnSOFTS,64,109,2,100,1.0,uniform,24,24,47.71515512466431,17.150020463126047,940.4839913504464,29.881423260251584,20693297152.0,79.4714001246861,54.565085002354216,-20693297152.0,0.25472639075347353,1.34495975290026,0.7927622411932264,13.20368024281093,0.8673965930938721,165.369019644601,63.290042877197266,0.19613044602530344
EnSOFTSSharp,64,109,2,100,1.0,uniform,24,24,46.58738970756531,16.98210825238909,965.3914358956473,30.129759347459558,15637656064.0,68.3230836050851,41.72132355826242,-15637656064.0,0.24663372124944413,1.336075280393873,0.7876483244555337,13.179878916059222,0.8641814334051949,172.77069091796875,62.38891819545201,0.30993577412196566
EnStemGNN,64,109,2,100,1.0,uniform,24,24,43.15292954444885,20.94895144871303,1313.3905203683037,35.60352740831225,32242409179.42857,93.8276127406529,69.86789648873466,-32242409179.42857,0.32853515659059795,1.668816157749721,0.9845207589013236,18.076334135872976,0.5556134794439588,484.145010811942,25.303036008562362,0.19600224494934082
EnTimeXer,64,109,2,100,1.0,uniform,24,24,175.39557886123657,16.629693303789413,909.9028189522879,29.530553604160733,13880652507.428572,66.84732001168388,39.52771840776716,-13880652507.428572,0.22960964909621648,1.3102834820747375,0.7727099657058716,12.865546907697405,0.8713503650256565,167.35970415387834,61.627777099609375,0.6405257156917027
EnTSMixerx,64,109,2,100,1.0,uniform,24,24,4.321104288101196,16.25398145403181,908.4243730817523,29.492752191719365,12117024146.285715,58.340742928641184,20.98170362200056,-12117024146.285715,0.2189327691282545,1.2793553982462202,0.7541270937238421,12.324549198150635,0.8783889498029437,144.49969809395927,61.43224498203823,0.08424932616097587
EnXLinear,64,109,2,100,1.0,uniform,24,24,7.687340259552002,18.682044982910156,1259.2990003313337,33.118753774266665,21012375990.857143,88.2153080531529,59.81172398158482,-21012375990.857143,0.2977739508662905,1.4754419752529688,0.8700155743530819,14.328477791377477,0.9426920413970947,148.42464229038782,90.83882468087333,0.10576973642621722
